Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2008-10-28,23-303,CLE,@,BOS,L (-5),1,36:00,.449,.429,3.9,18.6,12.1,47.1,2.9,2.2,10.9,35.4,93,92,14.1,8.2
2,2,2008-10-30,23-305,CLE,,CHA,W (+17),1,30:16,.542,.467,9.6,23.6,17.8,59.7,0.0,2.6,19.8,40.2,111,94,17.0,6.3
3,3,2008-11-01,23-307,CLE,@,NOH,L (-12),1,37:43,.447,.400,7.5,16.7,12.4,58.3,4.2,0.0,23.0,27.6,100,108,15.3,6.0
4,4,2008-11-03,23-309,CLE,@,DAL,W (+19),1,34:08,.545,.400,6.4,19.6,12.9,17.8,3.3,2.5,3.6,37.7,131,93,24.0,14.4
5,5,2008-11-05,23-311,CLE,,CHI,W (+14),1,35:50,.682,.565,7.1,21.8,14.9,41.0,5.8,0.0,14.3,43.3,130,92,36.0,22.7
6,6,2008-11-07,23-313,CLE,,IND,W (+4),1,39:20,.499,.479,7.6,20.3,14.8,36.7,1.3,7.5,12.9,36.4,104,108,21.5,4.9
7,7,2008-11-08,23-314,CLE,@,CHI,W (+9),1,39:12,.590,.517,14.8,26.9,21.5,22.2,0.0,0.0,5.4,42.7,134,109,31.0,15.5
8,8,2008-11-11,23-317,CLE,,MIL,W (+6),1,42:46,.722,.688,0.0,12.5,6.9,39.5,3.9,0.0,6.6,35.9,140,104,35.7,19.2
9,9,2008-11-13,23-319,CLE,,DEN,W (+11),1,38:02,.506,.500,3.8,26.0,15.1,40.4,4.4,0.0,18.7,35.1,102,108,18.1,2.4
10,10,2008-11-15,23-321,CLE,,UTA,W (+12),1,42:03,.735,.690,8.4,6.3,7.4,37.8,2.6,3.9,7.2,31.0,153,108,35.9,21.6
11,11,2008-11-18,23-324,CLE,@,NJN,W (+24),1,35:58,.564,.475,0.0,21.8,12.0,25.4,0.0,2.1,9.8,39.3,115,92,20.3,5.3
12,12,2008-11-19,23-325,CLE,@,DET,L (-7),1,39:30,.492,.381,3.2,17.4,10.0,34.3,5.6,0.0,10.6,35.2,106,104,20.1,8.2
